,smiles,pchembl
190,Nc1nc(NCc2ccccc2)nc2c1nc(-c1ccccc1)s2,6.56
191,OC1COC(n2cnc3c2nc(Cl)nc3NCc2cccc(Br)c2)C1O,7.89
192,CCNC(=O)C1OC(n2cnc3c(N)nc(N4CCN(c5ccc(OCc6ccccc6)cc5)CC4)nc32)C(O)C1O,7.43
193,O=[N+]([O-])c1cc(NCc2cc(I)ccc2)c2ncn(C3OC(CO)C(O)C3O)c2n1,8.01
194,Nc1c(C(=O)Nc2nc(-c3ccccc3)nc3c2nnn3Cc2ccccc2)cccc1,5.39
195,Nc1nc(-c2ccco2)c2nnn(Cc3ccccc3F)c2n1,6.36
196,CNc1c2nc[nH]c2nc(C#Cc2ccc(Cl)s2)n1,7.1
197,COc1c(OCC(=O)Nc2n[nH]c(-c3ccc(C)cc3)n2)cccc1,6.0
198,c1ccc(Oc2nc3nc(-c4ccco4)nn3c(NC3CCCCC3)n2)cc1,6.53
199,O=C(NCCc1ccccc1)C1SC(n2cnc3c2nc(Cl)nc3NCc2cc(I)ccc2)C(O)C1O,6.36
200,CCCn1c(=O)c2c(nc3N(CCc4ccc(OCCN(CC)CC)cc4)CCCn32)n(CCC)c1=O,6.2
201,Nc1ncc(C(=O)c2c(-c3ccccc3)nc(Nc3ccccc3)s2)n1-c1ccc(F)cc1,6.52
202,CNC(=O)C12CC1C(n1cnc3c1nc(C#Cc1ccc(F)cc1)nc3NC)C(O)C2O,9.28
203,Cn1cc2c(n1)nc(NC(=O)Nc1cccnc1)n1nc(-c3ccco3)nc21,9.31
204,O=C(CC=Cc1ccccc1)Nc1nc2c(cccc2)c(=O)s1,6.8
205,COc1ccc(C(=O)Nc2nc(-c3ccccc3)nc3cn(-c4ccccc4)nc23)cc1,8.14
206,CC1(O)C(O)C(CO)OC1n1cnc2c1ncnc2NC1CCOC1,4.45
207,CCOC(=O)C1=C(c2ccccc2)N=C(C)C(=C(O)OCC)C1C(OC)OC,4.82
208,CS(=O)(=O)N(c1nc2c(cccc2)n2c(=O)n(-c3ccccc3)nc12)S(C)(=O)=O,8.26
209,Nc1c2nc(-c3ccco3)sc2nc(NCCc2cccc(O)c2)n1,7.12
210,Cc1ccc(-c2nc3cn(Cc4ccccc4Cl)nc3c(N)n2)o1,7.15
211,Oc1nc2c(cccc2)c2nn(-c3ccc(Cl)cc3)cc12,7.72
212,CN(C)c1nc2nn(C)cc2c2nc(-c3ccco3)nn12,6.41
213,COCCNc1nc2c(cccc2)n2nc(-c3ccco3)nc12,6.36
214,Nc1nc2c(cccn2)n2c(=O)n(-c3ccc(F)cc3)nc12,6.31
215,CCC1CN2C(=O)N(Cc3ccccc3)c3c(nc(-c4cc(OC)no4)[nH]3)C2=N1,8.57
216,Cn1c(=O)c2c([nH]c(-c3ccc(S(=O)(=O)NCCc4ccccc4)cc3)n2)n(C)c1=O,5.96
217,CNC(=O)C1[Se]C(n2cnc3c2ncnc3NCc2c(Cl)cccc2)C(O)C1O,8.36
218,CC(=O)Nc1nc(C(=O)Nc2ccccc2)c2ccccc2n1,7.6
219,COc1ccc(-n2nc3c(N(C(=O)c4ccccc4)C(=O)c4ccccc4)nc4c(cccn4)n3c2=O)cc1,8.11
220,Cc1ccc(-c2nc3cn(Cc4ccccc4F)nc3c(N)n2)o1,6.3
221,CCCCC#Cc1nc(NCc2cccc(Cl)c2)c2ncn(C3SCC(O)C3O)c2n1,7.62
222,CCOC(=O)c1nc(NC(=O)c2cc(Cl)c(Cl)cc2)nc2nn(CCc3ccccc3)cc12,5.66
